,op,target,args,kwargs,shape,latency
0,placeholder,input_ids,(),{},"[1, 1024]",0.0
1,call_method,size,"(input_ids,)",{},,0.0005960464477539062
2,call_function,<built-in function getitem>,"(size, -1)",{},,0.00021457672119140625
3,call_method,view,"(input_ids, -1, getitem)",{},"[1, 1024]",0.03249645233154297
4,call_method,size,"(view,)",{},,0.00035762786865234375
5,call_function,<built-in function getitem>,"(size_1, 0)",{},,0.00016689300537109375
6,call_function,<built-in function getitem>,"(size, -1)",{},,0.00021457672119140625
7,call_function,<built-in function add>,"(getitem_2, 0)",{},,0.00019073486328125
8,call_function,<built-in function getattr>,"(view, 'device')",{},,0.000286102294921875
9,call_function,<built-in method arange of type object at 0x7bc135e97aa0>,"(0, add)","{'dtype': torch.int64, 'device': getattr_1}",[1024],0.0044345855712890625
10,call_method,unsqueeze,"(arange, 0)",{},"[1, 1024]",0.001811981201171875
11,call_function,<built-in function getitem>,"(size, -1)",{},,0.00019073486328125
12,call_method,view,"(unsqueeze, -1, getitem_3)",{},"[1, 1024]",0.0020503997802734375
13,call_module,transformer.wte,"(view,)",{},"[1, 1024, 2560]",2.6699066162109375
14,call_module,transformer.wpe,"(view_1,)",{},"[1, 1024, 2560]",3.660106658935547
15,call_function,<built-in function add>,"(transformer_wte, transformer_wpe)",{},"[1, 1024, 2560]",5.211448669433594
16,call_module,transformer.drop,"(add_1,)",{},"[1, 1024, 2560]",11.611080169677734
17,call_method,size,"(transformer_drop, -1)",{},,0.0003337860107421875
18,call_function,<built-in function add>,"(size, (size_2,))",{},,0.00040531158447265625
19,call_module,transformer.h.0.ln_1,"(transformer_drop,)",{},"[1, 1024, 2560]",4.358959197998047
20,call_method,size,"(transformer_h_0_ln_1,)",{},,0.0003814697265625
21,call_function,<built-in function getitem>,"(size_3, slice(None, -1, None))",{},,0.0003814697265625
22,call_function,<built-in function add>,"(getitem_4, (7680,))",{},,0.00030994415283203125
23,get_attr,transformer.h.0.attn.c_attn.bias,(),{},[7680],0.0
24,call_method,size,"(transformer_h_0_ln_1, -1)",{},,0.00035762786865234375
25,call_method,view,"(transformer_h_0_ln_1, -1, size_4)",{},"[1024, 2560]",0.0028133392333984375
26,get_attr,transformer.h.0.attn.c_attn.weight,(),{},"[2560, 7680]",0.0
27,call_function,<built-in method addmm of type object at 0x7bc135e97aa0>,"(transformer_h_0_attn_c_attn_bias, view_2, transformer_h_0_attn_c_attn_weight)",{},"[1024, 7680]",546.7223644256592
28,call_method,view,"(addmm, add_3)",{},"[1, 1024, 7680]",0.0026226043701171875
29,call_method,split,"(view_3, 2560)",{'dim': 2},,0.012803077697753906
30,call_function,<built-in function getitem>,"(split, 0)",{},"[1, 1024, 2560]",0.0002384185791015625
31,call_function,<built-in function getitem>,"(split, 1)",{},"[1, 1024, 2560]",0.00016689300537109375
32,call_function,<built-in function getitem>,"(split, 2)",{},"[1, 1024, 2560]",0.00016689300537109375
33,call_method,size,"(getitem_5,)",{},,0.00040531158447265625
34,call_function,<built-in function getitem>,"(size_5, slice(None, -1, None))",{},,0.00030994415283203125
35,call_function,<built-in function add>,"(getitem_8, (32, 80))",{},,0.0003337860107421875
